rank,asin,title,price,rating,reviews_count,url
#1,B0H39B5YC5,"Zeagoo Womens 3/4 Sleeve V Neck T Shirts Dressy Casual Tops | Business Work Tops, Going Out Blouse, Early Fall Fashion Outfits, Soft Basic Tee",$11.04,4.1 out of 5 stars,349 ratings,https://www.amazon.com/dp/B0H39B5YC5
#2,B0GYNLZ5RL,"Zeagoo Womens Tops 3/4 Sleeve loose fit dressy Tunics Plus Size Boho Shirts | Summer Tops for Women, Fall Clothes, Dressy Casual Blouses, Crew Neck Tunics to Wear with Leggings, Asymmetrical Hem",$9.99,4.1 out of 5 stars,985 ratings,https://www.amazon.com/dp/B0GYNLZ5RL
#3,B0H5Q5GKR1,"BORIFLORS Women's Elegant Ruched Floral Maxi Wedding Guest Dress | Mermaid Ruffle,Cocktail Formal Homecoming, Long Dresses",$48.99,3.9 out of 5 stars,405 ratings,https://www.amazon.com/dp/B0H5Q5GKR1
#4,B0FWTN2MNZ,adidas Boys Lite Racer Adapt 8.0 Sneakers Shoes Casual - Black,$44.95,4.5 out of 5 stars,297 ratings,https://www.amazon.com/dp/B0FWTN2MNZ
#5,B0GZ49VZRJ,Trendy Queen Womens Oversized Sweatshirts with Snap Button Henley Collar | Soft Fleece Pullover Tops Fall Winter Clothes 2026 Cute Fashion Outfits,$24.99,4.2 out of 5 stars,57 ratings,https://www.amazon.com/dp/B0GZ49VZRJ
#6,B0HCC42M7J,"BESTENA Tummy Control Shapewear Shorts, High Waisted Body Shaper | Girdle shapewear shorts smooth the tummy and thighs with high-waist control and seamless under-dress comfort",$9.58,4.8 out of 5 stars,74 ratings,https://www.amazon.com/dp/B0HCC42M7J
#7,B0H269GD3H,Zeagoo Womens Wool Blend Sweater Crewneck Long Sleeve Tops Fashion Clothing | Zeagoo Womens Wool Blend Crewneck Sweater Long Sleeve Soft Knit Pullover Lightweight Business Casual Black Fashion Clothing,$18.68,4.2 out of 5 stars,80 ratings,https://www.amazon.com/dp/B0H269GD3H
#8,B0H41R7WYS,"LOMON Womens Dressy V Neck Sweaters Long Sleeve Lightweight Knit Fall Tops | Women Fall Clothes,Elegant Puff Sleeve,Business Casual Outfits,Work Office Tops,Cozy Sweaters,Early Fall Fashion,Soft Knit",$14.99,4.2 out of 5 stars,48 ratings,https://www.amazon.com/dp/B0H41R7WYS
#9,B0GWZRJ64P,"Zeagoo Womens Flannel Shirts Long Sleeve Button Down Casual Fall Plaid Top | flannel plaid shirt, lightweight loose fit blouse, business casual outfits, 2026 fashion fall western shackets jacket",$17.99,4.2 out of 5 stars,368 ratings,https://www.amazon.com/dp/B0GWZRJ64P
#10,B0H4RGKWNZ,"Zeagoo Womens Bell Long Sleeve Tops Crewneck Ribbed Knit Shirts | Going Out Tops, Y2K Shirt, Trendy 2026 Fall Outfits, Slim Fit Cute Fashion Clothes, Basic Tee",$7.99,4.0 out of 5 stars,78 ratings,https://www.amazon.com/dp/B0H4RGKWNZ
