rank,asin,title,price,rating,reviews_count,url
#1,B0H1YJM5W8,"STANLEY Quencher ProTour FlipStraw 保溫杯,30 盎司(約 850.5 毫升),冰糕花園 | 內建吸管和把手 | 杯墊適用於旅行 | 防漏保溫不鏽鋼杯 | 不含雙酚 A",TWD 950.48,4.7 顆星，最高 5 顆星，20,042 個評分,https://www.amazon.com/dp/B0H1YJM5W8
#2,B0GH9R927H,"GORILLA GRIP 升級版不銹鋼手動開罐器,黑色 | 美國設計,超大手持式旋鈕,舒適手柄,易於轉動,多功能廚房工具,開瓶器",TWD 411.24,4.4 顆星，最高 5 顆星，6,882 個評分,https://www.amazon.com/dp/B0GH9R927H
#3,B0H6JWDY5D,Frost Buddy Togo Buddy 30 盎司(約 850.5 毫升)保溫杯 - 不鏽鋼(Emeraldglitz-one) | 雙層真空隔熱 | 防溢翻蓋 | 18/8 優質不銹鋼 | 杯架,"TWD 1,266.98",4.6 顆星，最高 5 顆星，3,326 個評分,https://www.amazon.com/dp/B0H6JWDY5D
#4,B0HCBL1TGD,"廚房鈦砧板 無毒 純鈦 砧板和揉捏板 附切割墊 可用於洗碗機 適用於肉類、水果、蔬菜和麵包,20 * 16","TWD 1,266.67",5.0 顆星，最高 5 顆星，12 個評分,N/A,https://www.amazon.com/dp/B0HCBL1TGD
#5,B0HDRYPTGR,"食品真空封口機,4 合 1 食品封口機 數位計時器 | 75kPa 吸力,配備數位計時器,4 合 1 食物封口機,具有密封/乾燥/濕潤/脈衝模式,小巧,適合儲存食物","TWD 3,167.93",4.2 顆星，最高 5 顆星，22 個評分,N/A,https://www.amazon.com/dp/B0HDRYPTGR
#6,B0H6DGPMD8,DicraoLea 6 件組 16 盎司(約 473.6 毫升)隔夜燕麥容器 附蓋子 | Mason 梅森罐附密封蓋、寬口梅森沙拉罐、酸奶凍糕、冰沙、沙拉(16 盎司(約 463.6 毫升)- 6 件),TWD 474.92,4.8 顆星，最高 5 顆星，324 個評分,N/A,https://www.amazon.com/dp/B0H6DGPMD8
#7,B0H6WZ1JYN,"多功能開罐器手冊,耐用重型手持式強力開罐器,光滑切割邊緣,友好的廚房必備工具,適合老年人露營和開瓶-黑色",TWD 221.46,4.1 顆星，最高 5 顆星，136 個評分,N/A,https://www.amazon.com/dp/B0H6WZ1JYN
#8,B0FMPHRGPC,"Crock-Pot® 設計系列 7 夸脫(約 1.7 公升)可編程慢燉鍋,晨霧藍","TWD 2,704.74",4.6 顆星，最高 5 顆星，30,182 個評分,https://www.amazon.com/dp/B0FMPHRGPC
#9,B0H4P1GTFT,"STANLEY 組裝午餐盒 3.5 公升,保溫午餐袋,玫瑰石英",TWD 848.14,4.6 顆星，最高 5 顆星，55 個評分,N/A,https://www.amazon.com/dp/B0H4P1GTFT
#10,B0H4G8ZN98,"不粘煎鍋,8 英吋(約 20.8 公分)健康無毒蛋鍋煎鍋不粘鍋,不含全氟辛辛酸,適用於所有爐灶",TWD 696.70,4.7 顆星，最高 5 顆星，22 個評分,N/A,https://www.amazon.com/dp/B0H4G8ZN98
